0.0 20.0 1.0
Linear 3 explicit
 1.270000 -0.013593855515737201 6.819764904359609 -20.32833306817723
 1.280000 -0.013576112143933842 6.830026934076969 -20.370648594871092
 1.290000 -0.013558454731077325 6.840224243395582 -20.41260531180378
 1.300000 -0.013540882464536323 6.8503575345027485 -20.454207838122734
 1.310000 -0.013523396313334652 6.860427494180946 -20.495460708385558
 1.320000 -0.013505995968811236 6.870434794372223 -20.53636837464508
 1.330000 -0.01348868005157569 6.880380092710112 -20.576935208525818
 1.340000 -0.01347144827127095 6.890264033035869 -20.617165503247698
 1.350000 -0.013454300857419874 6.900087245903094 -20.657063475555727
 1.360000 -0.013437237133748938 6.909850349070801 -20.696633267559932
 1.370000 -0.013420256227507126 6.919553947975622 -20.735878948508244
 1.380000 -0.013403357930645805 6.929198636172806 -20.774804516506034
 1.390000 -0.01338654200236426 6.938784995746737 -20.81341390019111
 1.400000 -0.013369807723747303 6.948313597700633 -20.851710960370603
 1.410000 -0.01335315450045247 6.957785002331299 -20.889699491614206
 1.420000 -0.013336582028390706 6.967199759589612 -20.927383223793075
 1.430000 -0.013320089828072031 6.976558409427163 -20.964765823564633
 1.440000 -0.013303677252365453 6.985861482128136 -21.0018508958113
 1.450000 -0.013287343812287928 6.99510949862443 -21.038641985038005
 1.460000 -0.013271089081914659 7.004302970794292 -21.075142576730286
 1.470000 -0.01325491249908673 7.013442401747206 -21.111356098675774
 1.480000 -0.013238813491150388 7.0225282860974545 -21.14728592224867
 1.490000 -0.013222791576872082 7.0315611102263205 -21.182935363656355
 1.500000 -0.013206846248720611 7.040541352533523 -21.21830768514843
 1.510000 -0.013190976940138047 7.049469483677925 -21.253406096191153
 1.520000 -0.013175183118256703 7.058345966807742 -21.28823375460942
 1.530000 -0.013159464276806448 7.067171257780387 -21.32279376769754
 1.540000 -0.013143819875363559 7.075945805373088 -21.35708919329946
 1.550000 -0.013128249365712134 7.08467005148502 -21.391123040859668
 1.560000 -0.013112752224937553 7.093344431331417 -21.42489827244504
 1.570000 -0.01309732792621102 7.101969373629672 -21.458417803738527
 1.580000 -0.013081975927347965 7.110545300778007 -21.491684505006024
 1.590000 -0.013066695695479712 7.11907262902681 -21.52470120203747
 1.600000 -0.013051486706044196 7.127551768643073 -21.557470677063193
 1.610000 -0.01303634842690992 7.135983124068396 -21.589995669645795
 1.620000 -0.013021280325656092 7.144367094070724 -21.622278877548915
 1.630000 -0.013006281877858652 7.152704071890454 -21.65432295758312
 1.640000 -0.012991352559215174 7.160994445380723 -21.686130526429743
 1.650000 -0.012976491843546354 7.169238597142481 -21.71770416144356
 1.660000 -0.012961699209255852 7.1774369046543 -21.749046401434956
 1.670000 -0.012946974138261977 7.1855897403973685 -21.780159747432155
 1.680000 -0.012932316112414268 7.193697471975909 -21.81104666342417
 1.690000 -0.012917724616050875 7.201760462232997 -21.84170957708517
 1.700000 -0.012903199137505964 7.209779069362355 -21.872150880480575
 1.710000 -0.01288873916696896 7.217753647015968 -21.90237293075571
 1.720000 -0.012874344196684458 7.225684544407869 -21.932378050807372
 1.730000 -0.01286001372246739 7.233572106414215 -21.962168529938985
 1.740000 -0.012845747243064939 7.24141667366986 -21.99174662449975
 1.750000 -0.012831544259621361 7.249218582661541 -22.02111455850823
 1.760000 -0.012817404276523857 7.25697816581787 -22.050274524260992
 1.770000 -0.01280332680148667 7.264695751596136 -22.079228682926505
 1.780000 -0.012789311345091687 7.272371664566322 -22.107979165125045
 1.790000 -0.012775357421082434 7.280006225492144 -22.136528071494673
 1.800000 -0.0127614645466348 7.287599751409516 -22.164877473243962
 1.810000 -0.012747632242120301 7.2951525557022805 -22.193029412691747
 1.820000 -0.01273386003115566 7.302664948175561 -22.22098590379432
 1.830000 -0.012720147440805987 7.310137235126703 -22.248748932660334
 1.840000 -0.012706494001522666 7.317569719413974 -22.276320458053846
 1.850000 -0.012692899247109216 7.324962700523052 -22.303702411885816
 1.860000 -0.012679362714842211 7.332316474631384 -22.330896699694406
 1.870000 -0.012665883945476113 7.339631334670614 -22.357905201114484
 1.880000 -0.012652462483204324 7.346907570386918 -22.384729770336286
 1.890000 -0.012639097875721289 7.354145468399864 -22.41137223655393
 1.900000 -0.012625789674229176 7.361345312259019 -22.43783440440396
